Date,pr
20-10-2010,0.847736143
21-10-2010,0.814093236
22-10-2010,0.8081088
23-10-2010,0.814994364
24-10-2010,0.828573897
25-10-2010,0.886957257
26-10-2010,0.831089434
27-10-2010,0.828701318
28-10-2010,0.668554013
29-10-2010,0.824043212
30-10-2010,0.773629325
31-10-2010,0.751339843
01-11-2010,0.780805686
02-11-2010,0.819211413
03-11-2010,0.781690022
04-11-2010,0.844229764
05-11-2010,0.814130421
06-11-2010,0.807383166
07-11-2010,0.794706835
08-11-2010,0.806536169
09-11-2010,0.801128151
10-11-2010,0.793054695
11-11-2010,0.776103966
12-11-2010,0.764422808
13-11-2010,0.752722657
14-11-2010,0.806349474
15-11-2010,0.740293784
16-11-2010,0.891202715
17-11-2010,0.788199238
18-11-2010,0.821962783
19-11-2010,0.811399367
20-11-2010,0.792568218
21-11-2010,0.756079126
22-11-2010,0.793988397
23-11-2010,0.787112193
24-11-2010,0.797068569
25-11-2010,0.718817262
26-11-2010,0.744368335
27-11-2010,0.742425681
28-11-2010,0.844025551
29-11-2010,0.848032615
30-11-2010,0.784065615
01-12-2010,0.701511466
02-12-2010,0.721082504
03-12-2010,0.684740385
04-12-2010,0.779662192
05-12-2010,0.790554196
06-12-2010,0.778012392
07-12-2010,0.777984438
08-12-2010,0.74534454
09-12-2010,0.803193752
10-12-2010,0.878916447
11-12-2010,0.797231493
12-12-2010,0.786225483
13-12-2010,0.780521271
14-12-2010,0.796850562
15-12-2010,0.777571903
16-12-2010,0.802386186
17-12-2010,0.792603414
18-12-2010,0.765116809
19-12-2010,0.733891961
20-12-2010,0.821802464
21-12-2010,0.809875194
22-12-2010,0.801328528
23-12-2010,0.812830971
24-12-2010,0.810893768
25-12-2010,0.789486735
26-12-2010,0.820035127
27-12-2010,0.836293952
28-12-2010,0.777487877
29-12-2010,0.774257793
30-12-2010,0.784659497
31-12-2010,0.723308402
01-01-2011,0.742632133
02-01-2011,0.775319483
03-01-2011,0.760870811
04-01-2011,0.709738905
05-01-2011,0.767761561
06-01-2011,0.740738413
07-01-2011,0.767553079
08-01-2011,0.753787422
09-01-2011,0.738262247
10-01-2011,0.785407488
11-01-2011,0.759486734
12-01-2011,0.948236164
13-01-2011,0.801664339
14-01-2011,0.764928229
15-01-2011,0.776314523
16-01-2011,0.783625585
17-01-2011,0.809339647
18-01-2011,0.801524171
19-01-2011,0.743727117
20-01-2011,0.791250742
21-01-2011,0.788914814
22-01-2011,0.789741686
23-01-2011,0.775901848
24-01-2011,0.786067574
25-01-2011,0.799453537
